Type,Name,Pillar,Category,SubCategory,HasImage,Brand,Description
Product,Updated Product Name,shop,dognuts,,Yes,,"Embroidered ""sprinkles"" and toppings make them look like real delicious donuts! "
Product,Love in the Air Mini,celebrate,mini-cakes,,Yes,,Love in the Air Mini – Valentine Cake for Dogs (200g) Love is in the air… and on
Product,Love Note Mini,celebrate,mini-cakes,,Yes,,Love Note Mini – Personalised Valentine Dog Cake (200g) Celebrate your pup with 
Product,Made-For-Your-Pup Box,celebrate,hampers,,Yes,,"A fully custom treat box, made exactly the way your dog likes it. What’s inside:"
Product,Pick-A-Treat Pup Box,celebrate,hampers,,Yes,,Because every good dog deserves a little bit of everything 🐶🎁 Our Treats &amp; T
Product,Go Bananas Box,celebrate,hampers,,Yes,,"Go Bananas for better treats 🍌🐾 A feel-good banana combo made with simple, nouri"
Product,Berry Much Love Box,celebrate,hampers,,Yes,,"Berry Much Love, packed in one box 🍓🐾 A wholesome strawberry-themed combo made t"
Product,👻 Googly Ghoul Dognuts 🐾,shop,dognuts,,Yes,,Because Halloween’s more fun with a little spook and a lot of wag! 💚 These eye-p
Product,🎃Jack O’ Lick Pupcakes 🐾,celebrate,dognuts,,Yes,,Trick or treat? Definitely treat! 🧡 These Halloween-themed pupcakes are topped w
Product,🕸️ Creepy Crawly Dognuts 🐾,shop,dognuts,,Yes,,Spooky meets scrumptious with these Halloween-themed do(g)nuts! 👻 Frosted with s
Product,🎃 Spooky Pupcakes 👁️,celebrate,dognuts,,Yes,,A Halloween-perfect mix of Jack-o’-lantern 🎃 and spooky eyeball 👁️ pupcakes — ma
Product,Dog Birthday Cake Hamper w/ Toy,celebrate,cakes,,Yes,,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a banda"
Product,Breed Birthday Cake Hamper w/ Toy,celebrate,cakes,,Yes,,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a banda"
Product,Coconut & Honey Ladoos,celebrate,desi-treats,,Yes,,"🟡 Coconut &amp; Honey Ladoos for Dogs Golden, festive, and oh-so-irresistible! 🥥"
Product,Oat Ladoos,celebrate,desi-treats,,Yes,,"🟡 Oat Ladoos for Dogs A simple, hearty treat that celebrates both health and hap"
Product,Desi Tails Diwali Treat Box,celebrate,hampers,,Yes,,A Celebration in Every Bite – Desi Doggy Sweet Box! 🎊 A delicious assortment of 
Product,Choco Dognut Toy,shop,dognuts,,Yes,,"Embroidered ""sprinkles"" and toppings make them look like real delicious donuts! "
Product,Kawaii Woofy Cake,celebrate,cakes,,Yes,,"Bring home the cuteness overload with our round, anime-inspired Kawaii Woofy Cak"
Product,Cheeky Boney,celebrate,cakes,,Yes,,"Shaped like a playful bone, this cake is topped with our homemade yogurt frostin"
Product,Tailored Peanut Butter Cake,celebrate,cakes,,Yes,,Make your pup’s special day truly unique with the Tailored Peanut Butter Cake ! 
Product,Peanut Butter & Yoghurt Woof Dognuts,celebrate,dognuts,,Yes,,Donuts made just for dogs—with love! These soft-baked goodies are glazed with ou
Product,Bone Rakhi Treat Box - Coconut-Honey Ladoos & Kaju Katlis,celebrate,hampers,,Yes,,For the sibling who wags their tail every time you walk in — the Bone Rakhi Box 
Product,Paw Rakhi Celebration Box - Coconut-Honey Ladoos & Kaju Katlis,shop,hampers,,Yes,,"Celebrate the bond of love, licks, and loyalty with our Paw Rakhi Box ! This box"
Product,Labowbow,celebrate,breed-cakes,,Yes,,"Introducing the Labuba Cake – made for Labrador lovers and their joyful, tail-wa"
Product,Snuffle Pupcake Toy,celebrate,dognuts,,Yes,,Your dog’s playtime just took a super cute turn! With some easy and some challen
Product,Mangolicious Woofs – Limited Edition,shop,dognuts,,Yes,,Our best-selling Woof Dognuts just got a summer twist! ☀️ Introducing Limited Ed
Product,Mother's Day Mini Cake,celebrate,mini-cakes,,Yes,,Celebrate unconditional love with our limited-edition Mother’s Day Cake — topped
Product,Mutton & Veggies Meal,shop,fresh-meals,,Yes,,"Mutton &amp; Veggies — Rich in Taste, Balanced in Nutrition For dogs who crave h"
Product,Chicken & Veggies Meal,shop,fresh-meals,,Yes,,"Chicken &amp; Veggies — A Fresh, Balanced Bowl for Daily Nourishment A comfortin"
Product,Mango Jello Bones,shop,frozen-treats,,Yes,,"Introducing our Mango Jello Bones, a delicious and refreshing treat for your fur"
Product,Jalebi Box (Cheddar & Oat),celebrate,hampers,,Yes,,"🌀 Tail-eebi Treats – Crunchy Spirals for Your Doggo! These golden, crunchy, dog-"
Product,Besan Ladoos,celebrate,desi-treats,,Yes,,"🟡 Besan Ladoos for Dogs Bring home the taste of tradition, made safe for your fu"
Product,Desi Doggy Sweet Box,celebrate,hampers,,Yes,,A Celebration in Every Bite! A delicious assortment of dog-friendly festive swee
Product,The Holi Gujiya Box,celebrate,hampers,,Yes,,"Pawjiya Delight – A Festive Treat for Your Pup! Crafted with love, our dog-frien"
Product,Blueberry Fro-Yo,celebrate,frozen-treats,,Yes,,"4 servings of 125ml each Beat the heat with our Blueberry Fro-Yos —a creamy, coo"
Product,Watermelon Fro-Yo,celebrate,frozen-treats,,Yes,,"4 servings of 125ml each Beat the heat with our Blueberry Fro-Yos —a creamy, coo"
Product,Watermelon Jello Bones,celebrate,frozen-treats,,Yes,,Box of 8 bone-shape pieces Keep your pupper hydrated and happy with our Watermel
Product,Blueberry Jello Bones,celebrate,frozen-treats,,Yes,,Box of 8 bone-shape pieces Cool down your pupper fren with our Blueberry Jello B
Product,Frosty Toy Poodle Cake,celebrate,breed-cakes,,Yes,,Delight your pup with our Frosty Fido Cake! This charming treat features our spe
Product,Banana & Oats Crunch w/ Hemp Hearts,shop,treats,,Yes,,Elevate your furry friend's snacking experience with our Hemp Hearts-topped Bana
Product,Cheesy Chicken Explosion w/ Hemp Hearts,shop,treats,,Yes,,Elevate your furry friend's snacking experience with our Hemp Hearts-topped Ched
Product,Pawfect Valentine’s Gift Box ❤️🐶,celebrate,hampers,,Yes,,"Celebrate love with our Pawfect Valentine’s Gift Box , crafted specially for you"
Product,Strawberry & Pumpkin Jello Hearts,celebrate,frozen-treats,,Yes,,Box of 24 heart-shape pieces Heart Shaped jellos are ideal for ending a pupper f
Product,Chicken Delight Doggo Cake,celebrate,cakes,,Yes,,"Crafted to resemble a chicken leg, this delectable cake features a savory base f"
Product,Strawberry Pawfect Love Cake,celebrate,cakes,,Yes,,"Celebrate love with our heart-shaped Valentine's-themed cake, made with wholesom"
Product,Yogurt Paw Pupcakes 🐾,celebrate,dognuts,,Yes,,Treat your doggo to these paw-tastic pupcakes! Made with oats and your choice of
Product,Peanut Butter Doggo Pupcakes,celebrate,dognuts,,Yes,,Delight your pup with these adorable dog-face pupcakes! Made with wholesome oats
Product,Tailored Blueberry Cake,celebrate,cakes,,Yes,,Make your pup’s special day truly unique with the Tailored Cake ! Featuring deli
Product,Garden Delight Cake 🌸🐾,celebrate,cakes,,Yes,,Add a splash of color and joy to your pup’s celebration with our Garden Delight 
Product,Rainbow Heart Celebration Cake,celebrate,cakes,,Yes,,Add a splash of color to your pup’s special day with our Rainbow Heart Celebrati
Product,Paw Prints Celebration Cake!,celebrate,cakes,,Yes,,Celebrate your pup’s special day with the timeless charm of our Paw Prints Celeb
Product,Christmas Cookies (200g),shop,treats,,Yes,,Delicious treats made with love for your furry friend.
Product,Christmas Dognuts,celebrate,dognuts,,Yes,,"This Christmas, let your furry friend indulge in the festive spirit with our Chr"
Product,Santa Paws Mini Cake Set,celebrate,mini-cakes,,Yes,,Make your pup’s Christmas extra special with our Santa Paws Mini Cake Set ! 🎄✨ E
Product,Merry O!,celebrate,treats,,Yes,,"Now available in sets of 4 or 6 , Merry O’s are freshly baked festive pupcakes m"
Product,Peanut Butter Poodle,celebrate,breed-cakes,,Yes,,Say hello to our Pawfect Poodle cake 🐾🎂—specially crafted for your little furry 
Product,Mutt Munch,celebrate,breed-cakes,,Yes,,Say hello to our Pawfect Poodle cake 🐾🎂—specially crafted for your little furry 
Product,Mini Mutt Munch,shop,mini-cakes,,Yes,,Say hello to our Pawfect Poodle 🐾🎂—specially crafted for your little furry frien
Product,Furry Festive Diya Cake,celebrate,cakes,,Yes,,Let your dog join in the Diwali fun with this beautifully decorated Diya-themed 
Product,Cracker Cookie & Ladoo Combo,shop,desi-treats,,Yes,,(Set of 6) Experience the best of both worlds this Diwali – a savory and sweet t
Product,Mini Ladoo Box,shop,hampers,,Yes,,"(Set of 4) Delight in a festive assortment of rich, golden Besan Ladoos paired w"
Product,Pawsonalized Bone Bash,celebrate,cakes,,Yes,,"Make your dog's birthday extraordinary with our ""Pawsonalized Bone Bash"" cake. T"
Product,Peanut Pup Prints,celebrate,cakes,,Yes,,"Treat your fluffy companion to our Paw-nut Butter Delight dessert, crowned with "
Product,Pack of 3 Tricolor Dognut Delights,shop,dognuts,,Yes,,"This Independence Day, let your canine companion join in the festivities with ou"
Product,Tricolor Treats Combo,shop,desi-treats,,Yes,,"This Independence Day, let your canine companion join in the festivities with ou"
Product,Barkday Bash Box,celebrate,hampers,,Yes,,Celebrate your furry friend's special day with the ultimate cake-making experien
Product,Furry Friend Festive Box,celebrate,hampers,,Yes,,Treat your furry friend to the ultimate indulgence with our Pawsome Treat Box! T
Product,Peanut Butter video,shop,nut-butters,,Yes,,Delicious nut butters made with love for your furry friend.
Product,Breed Cake Hamper w/ Feeding Mat,celebrate,hampers,,Yes,,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a feedi"
Product,Treat Jar & Cookie Combo,celebrate,treats,,Yes,,A treat jar with a cute dog on it for your pup's snacks and pair it with a box o
Product,Unicorn Unity Cake,celebrate,cakes,,Yes,,"A mythical unicorn cake with a white base, highlighted by a spectrum mane and a "
Product,Gotta Catch Em' All,celebrate,cakes,,Yes,,Unleash the fun with our Gotta Catch Em All Pokeball themed dog cake! Perfect fo
Product,Maya's Toy,celebrate,cakes,,Yes,,Maya's favorite toy is now a dog-friendly cake! Indulge your furry friend with t
Product,Sunflower Season,celebrate,cakes,,Yes,,Get ready for a dog-friendly treat with Sunflower Season! Our unique dog cake fe
Product,Wroom Wroom!,celebrate,cakes,,Yes,,Indulge your furry friend's need for speed with our Car Cake! Made with creamy y
Product,Teddy,celebrate,cakes,,Yes,,"Introducing Teddy, the sweetest treat for your furry friend! This scrumptious do"
Product,Sunshine & Rainbows,celebrate,cakes,,Yes,,Indulge in a little slice of sunshine and happiness with our Sunshine &amp; Rain
Product,Pan India Cake,celebrate,cakes,,Yes,,"Here's a pan-India cake, available for nationwide delivery! Choose from 4 of our"
Product,Dog Mom Woof Box,celebrate,hampers,,Yes,,"Treat the special dog moms in your life with our ""Dog Mom Pawsentials Box""! This"
Product,Moms Marvel Cake,celebrate,cakes,,Yes,,"With soft swirls of pastel icing and a delicate floral garnish, the ""Mom's Marve"
Product,Prideful Pooch,celebrate,cakes,,Yes,,"Shaped like a classic dog bone, this cake boasts a cascade of Pride colors on to"
Product,Canine Kisses Cake,celebrate,cakes,,Yes,,This bone-shaped treat symbolizes the sweet and loving kisses moms receive from 
Product,Square Snuggles,celebrate,cakes,,Yes,,"The ""Square Snuggles Cake"" stands out with its geometric precision and a burst o"
Product,Hug-in-a-Cake,celebrate,cakes,,Yes,,"This round cake wraps comfort and love into every layer, featuring a rich, cream"
Product,Rainbow Roundabout,celebrate,cakes,,Yes,,A cheerful round cake adorned with soft rainbow swirls atop pristine white icing
Product,Pacman,celebrate,cakes,,Yes,,Celebrate with a blast from the past with our Pacman-inspired cake! Each bite of
Product,Here Comes The Sun,celebrate,cakes,,Yes,,"Celebrate the splendor of sunny days with our 'Here Comes the Sun' Cake, designe"
Product,Carnival Canine,celebrate,cakes,,Yes,,Dressed in a party-perfect polka-dot bandana and surrounded by a necklace of col
Product,Buddy Peanut Butter Cake,celebrate,cakes,,Yes,,"Celebrating the cheer that pets bring into our lives, the ""Buddy Cake"" is the ep"
Product,Floral Fido,celebrate,cakes,,Yes,,"The ""Floral Fido Cake"" is a celebration of spring's bloom and our dogs' unwaveri"
Product,Puppy Love Squares,celebrate,cakes,,Yes,,"The ""Puppy Love Squares"" cake is a square of sweetness, featuring heart-shaped f"
Product,Biscuit Buddy,celebrate,cakes,,Yes,,"The ""Biscuit Buddy Cake"" combines a classic dog bone shape with a joyful pooch e"
Product,Pooch's Smiles,celebrate,cakes,,Yes,,"With a beaming face that lights up any room, the ""Pooch's Smiles Cake"" is a test"
Product,Hearty Hound,celebrate,cakes,,Yes,,"With its endearing heart-shaped ears and rosy-cheeked smile, the ""Hearty Hound C"
Product,Cheerful Chum,celebrate,cakes,,Yes,,"With its bright eyes and friendly wagging tongue, the ""Cheerful Chum Cake"" is a "
Product,Festive Cake Pops,celebrate,cakes,,Yes,,Make your pup’s Christmas extra merry with our Festive Cake Pops! 🎄✨ This joyful
Product,Banana Chicken Fro-Yo,shop,frozen-treats,,Yes,,Treat your pup to a delightful blend of banana and chicken flavor with our Banan
Product,Smilo Cake,celebrate,cakes,,Yes,,A cheerful cake to keep your pooch grinning from ear to floppy ear. Select from 
Product,You are My Sunshine,celebrate,cakes,,Yes,,"Bask in the glow of sunny days with our 'You Are My Sunshine' Cake, specially ba"
Product,Scoops of Joy,celebrate,cakes,,Yes,,"Indulge your furry friend in the 'Scoops of Joy Cake,' a whimsical creation ador"
Product,Sunbeam Bliss Cake Pops,celebrate,cakes,,Yes,,"Brighten your pup's day with 'Sunbeam Bliss Cake Pops,' creatively designed in t"
Product,Summer Icons,shop,other,,Yes,,"Dive into the essence of summer with our 'Summer Icons Pupcake Set,' featuring a"
Product,Cool Cones,celebrate,cakes,,Yes,,Treat your furry friend to a taste of summer with our 'Cool Cones Cookie Collect
Product,Red Velvet,shop,dognuts,,Yes,,"Baked with the excellent combination of beet and wheat, these red velvet pupcake"
Product,Paw Love Pupcakes,celebrate,dognuts,,Yes,,BOX OF 4 OR 6 These pawsome cup cakes are all you need to have a pawfect Valenti
Product,Furry Fiesta Pupcake,celebrate,dognuts,,Yes,,Dive into the festival of colors with our Holi Furry Fiesta Pupcakes. Each pupca
Product,The Doggy Bakery Virtual Gift Card,shop,gift-cards,,Yes,,Delicious gift cards made with love for your furry friend.
Product,It is a Roast Chicken!,celebrate,cakes,,Yes,,"Dive into the savory world of this uniquely designed cake, expertly crafted to r"
Product,Spotty Pup,celebrate,cakes,,Yes,,"Pamper your pooch with our Spotty Pup Delight, a delectable brown and white cake"
Product,Nutty Pup,celebrate,cakes,,Yes,,"Whisk your furry friend away to flavor town with our Nutty Pup Treat, a peanut b"
Product,Pink Pooch Paradise,celebrate,cakes,,Yes,,"Dive into a world of whimsy with our Pink Puppy Giant Cake, the perfect centerpi"
Product,Cheep Cheep,shop,dognuts,,Yes,,"Celebrate the little joys with our 'Cheep Cheep Celebration Pupcake,' a delightf"
Product,Chicky Pawps,shop,treats,,Yes,,"Get ready for a peck of fun with our 'Chicky Pawps Delights,' where the zest of "
Product,Cluck & Peep Duo Cookies,shop,treats,,Yes,,"Introducing our 'Cluck &amp; Peep Duo Cookies,' a charming set of Mumma Hen and "
Product,Bee The Best,shop,dognuts,,Yes,,"Buzz into happiness with our 'Bee the Best Cookies,' a delightful treat inspired"
Product,Easter Rings,shop,dognuts,,Yes,,"Dive into the spirit of Easter with our 'Easter Rings,' a colorful and tasty add"
Product,Hoppy Bunny,celebrate,cakes,,Yes,,Celebrate Easter with a touch of whimsy using our Hoppy Bunny Celebration Cake. 
Product,Cluck,celebrate,cakes,,Yes,,"Hop into the festive spirit with our Cluck Cake, tailor-made for your canine com"
Product,Woof Dognuts,celebrate,dognuts,,Yes,,"Indulge your pup in the luxurious taste of our Woof Dognuts, a sumptuous treat t"
Product,I Ruv My Dog,celebrate,cakes,,Yes,,Celebrate the unspoken bond you share with your furry friend with our 'I Ruv My 
Product,One Love Bowto Mini Cake,celebrate,mini-cakes,,Yes,,Valentine's Bowto Special – A Heartfelt Treat for Your Furry Best Friend Celebra
Product,Bowto Love Mini Cake,celebrate,mini-cakes,,Yes,,Valentine's Bowto Special – A Heartfelt Treat for Your Furry Best Friend Celebra
Product,Festival of Colours Bowto Cake,celebrate,mini-cakes,,Yes,,"Celebrate Holi with our Festival of Colours Bowto Cake, a vibrant tribute to thi"
Product,Pichkari Cake,celebrate,cakes,,Yes,,"Unleash a splash of joy with our Holi-themed Pichkari Cake. Weighing 500 grams, "
Product,Holi Heart Delight,celebrate,desi-treats,,Yes,,"Indulge your pup in the festive spirit with our Holi Hearts Delight Cookies, bur"
Product,XOXO Red Velvet,celebrate,treats,,Yes,,"Embrace the spirit of affection with our 'XOXO Red Velvet Pupcakes,' a decadent "
Product,Sweetheart Sprinkles,celebrate,treats,,Yes,,"Indulge your canine companion in a box of pure joy with 'Sweetheart Sprinkles,' "
Product,Cheeku Fro-Yo,shop,frozen-treats,,Yes,,4 servings of 125ml each Introducing our delicious Sapodilla Flavor Dog Frozen Y
Product,Gajjar Laddu,celebrate,desi-treats,,Yes,,Box of 9 bite-size Laddoos if you are looking for something traditional to celeb
Product,Bark Boney,celebrate,cakes,,Yes,,"Introducing the 'Bark Boney Cake,' a whimsically bone-shaped treat adorned with "
Product,Dog Cake Party Box,celebrate,hampers,,Yes,,"With yummy cakes and treats, pawdorable goodies, pawfect merchandise and everyth"
Product,Square Pooch,celebrate,cakes,,Yes,,"A square cake with a tender paw imprint, capturing the essence of the love share"
Product,Dog Star,celebrate,cakes,,Yes,,"The Dog Star is part of the constellation Canis Major, Latin for ""the greater do"
Product,Pawty Time,shop,dognuts,,Yes,,Celebrate your furry friend's special moments with our 'Pawty Time Pupcake Set'.
Product,Mini Doggo,shop,dognuts,,Yes,,Experience the essence of our signature Doggo cake in adorable pupcake form. The
Product,Peanut & Yogurt Yaps,shop,dognuts,,Yes,,"Treat your pup to our Peanut &amp; Yogurt Yaps, featuring a delectable peanut to"
Product,Strawberry Sweetheart,celebrate,dognuts,,Yes,,"Indulge in the charm of our Strawberry Sweetheart Pupcake, a delightful blend of"
Product,Mango Munch,shop,dognuts,,Yes,,"Savour the tropical taste of our Mango Munch Pupcake, featuring a luscious mango"
Product,Sultan,celebrate,cakes,,Yes,,"A regal and charming square-shaped confection, fit for canine royalty and named "
Product,Merry Christmas Cake,celebrate,cakes,,Yes,,"A Christmas Cake for your doggos, a beautifully simple design to being in the fe"
Product,Love My Doggy,celebrate,cakes,,Yes,,"An ode to the heartfelt connection with your canine, this cake is a sweet testam"
