name,pillar,description
Basic Grooming,care,"Bath, brush, nail trim, ear cleaning"
Full Spa Grooming,care,"Complete spa experience with massage, premium products"
Vet Consultation,care,General health checkup and consultation
Birthday Party - Home,celebrate,Complete birthday planning and execution at your home
Birthday Party - Venue,celebrate,Birthday celebration at a pet-friendly venue
Gotcha Day Celebration,celebrate,Celebrate your pet's adoption anniversary
Milestone Celebration,celebrate,"First travel, senior years, recovery milestones"
Festive Celebration Planning,celebrate,"Diwali, Christmas, Holi celebrations with your pet"
Surprise Coordination,celebrate,Surprise party or gift coordination for pet parents
Life Moment Tracking,celebrate,"Automated reminders for birthdays, gotcha days, milestones"
Pet-Friendly Restaurant Discovery,dine,Find the perfect restaurant that welcomes your pet
Reservation Assistance,dine,We confirm pet acceptance and make the reservation
Dining Etiquette Guidance,dine,Tips and training for dining out with your pet
Venue Suitability Advisory,dine,Breed and size suitability check for venues
Backup Dining Alternatives,dine,Alternative options if plans change last minute
Pet-Friendly Hotel Discovery,stay,Find hotels and resorts that welcome your pet
Property Rule Verification,stay,"Verify breed, size, and number restrictions"
Room Suitability Advisory,stay,Recommend the right room type for your pet
Long-Stay Assistance,stay,Serviced apartments and extended stay planning
Boarding Alternatives,stay,"When hotel stays aren't possible, we find boarding"
Airline Policy Interpretation,travel,Route-specific pet policy guidance
Cabin vs Cargo Advisory,travel,Feasibility check based on pet size and route
Train & Road Travel Planning,travel,Complete road trip or train journey planning
Destination Pet Rules,travel,Pet rules and requirements at your destination
Domestic Relocation Planning,travel,Complete domestic move with your pet
International Relocation,travel,International move with quarantine and documentation
Transit & Handling Guidance,travel,Airport handling and transit coordination
Vet Consultation - General,care,General health checkup and consultation
Vet Consultation - Specialty,care,"Specialist consultation (dermatology, cardiology, etc.)"
Vet Visit - Home,care,Vet comes to your home
Basic Grooming,care,"Bath, brush, nail trim, ear cleaning"
Full Spa Grooming,care,Complete spa experience with massage
Home Grooming,care,Groomer comes to your home
Preventive Care Reminders,care,"Vaccination, deworming, health check reminders"
Nutrition Guidance,care,Non-medical diet and nutrition planning
Recovery Care Coordination,care,Post-surgery or treatment care coordination
Senior Pet Care Planning,care,Comprehensive care plan for senior pets
Pet Parks Discovery,enjoy,Find dog parks and open spaces near you
Playdate Coordination,enjoy,Arrange playdates with compatible dogs
Pet Events & Experiences,enjoy,"Pet-friendly events, meetups, experiences"
Socialisation Planning,enjoy,Structured socialisation for puppies and shy dogs
Weekend Outing Planning,enjoy,Complete weekend activity plan with your pet
Dog Walking - Daily,fit,Daily dog walking service
Dog Walking - Monthly Package,fit,30 walks per month
Breed-Appropriate Activity Plan,fit,Customized exercise routine for your breed
Indoor Exercise Routines,fit,Exercise plans for apartment living
Outdoor Exercise Sessions,fit,Guided outdoor exercise and play
Weight Management Program,fit,Non-medical weight loss/gain support
Senior Mobility Planning,fit,Gentle exercise for senior dogs
Swimming Sessions,fit,Hydrotherapy and recreational swimming
New Pet Parent Onboarding,learn,Everything you need to know as a first-time pet parent
Breed Education Session,learn,Understand your breed's needs and temperament
Puppy Transition Guidance,learn,First 30 days with your new puppy
Senior Pet Care Education,learn,Understanding and caring for aging pets
Behavior Understanding,learn,Learn to read and understand your pet's behavior
Basic Obedience Training,learn,"Sit, stay, come, heel basics"
Advanced Training,learn,Advanced commands and tricks
Pet Registration Guidance,paperwork,Help with local pet registration
Microchipping Assistance,paperwork,Microchip registration and documentation
Licensing & Compliance,paperwork,Local compliance and licensing guidance
Travel Documentation,paperwork,"Pet passport, health certificates, NOCs"
Insurance Paperwork Advisory,paperwork,Help with pet insurance documentation
Adoption Documentation,paperwork,Adoption papers and transfer documentation
Pet Life Planning,advisory,Long-term planning for your pet's life
Housing & Society Advisory,advisory,Navigate pet rules in housing societies
Multi-Pet Household Planning,advisory,Adding another pet to your family
Behavior Escalation Pathways,advisory,Non-clinical behavior concern guidance
End-of-Life Preparation,advisory,Planning for your pet's final chapter
Emergency Vet Discovery,emergency,Find nearest emergency vet immediately
After-Hours Care Guidance,emergency,Guidance when regular vets are closed
Accident & Poisoning Response,emergency,Immediate guidance for emergencies
Lost Pet Response,emergency,Coordination for lost pet recovery
Emergency Transport,emergency,Emergency pet ambulance coordination
End-of-Life Planning,farewell,Compassionate planning support
Euthanasia Coordination,farewell,Vet-guided peaceful passing
Cremation & Burial,farewell,Dignified final arrangements
Memorial & Remembrance,farewell,Memorial planning and keepsakes
Grief Support Resources,farewell,Support during difficult times
Ethical Adoption Discovery,adopt,Find verified shelters and rescues
Breed Suitability Advisory,adopt,Find the right breed for your lifestyle
Adoption Readiness Planning,adopt,Are you ready for a pet?
Home Preparation Guidance,adopt,Prepare your home for a new pet
First 30 Days Support,adopt,Transition support for new adoptions
Personal Shopping Assistance,shop,Help finding the right products
Emergency Sourcing,shop,Urgent product sourcing
Vet-Recommended Sourcing,shop,Find specific vet-recommended products
Travel & Relocation Sourcing,shop,All products needed for travel/move
Test Custom Service UPDATED,care,Updated description
Updated Test Grooming Service,care,Updated description for testing
