id,name,city,type,price_range,pet_policy
stay-wildernest-nature-resort-1baa45,Wildernest Nature Resort,Chorao,,"₹5,000-15,000","{'description': 'Dogs welcome, size restrictions m"
stay-shaam-e-sarhad-village-resort-96b905,Shaam-e-Sarhad Village Resort,Hodka,,"₹3,000-8,000","{'description': 'Pets welcome with prior notice', "
stay-the-paul-bangalore-3807e2,The Paul Bangalore,Bangalore,,"₹8,000-20,000","{'description': 'Pet-friendly rooms available', 'm"
stay-reni-pani-jungle-lodge-d5258f,Reni Pani Jungle Lodge,Satpura,,"₹15,000-30,000",{'description': 'Dogs welcome in designated cottag
stay-the-postcard-gir-9cc164,The Postcard Gir,Gir,,"₹20,000-50,000","{'description': 'Pet-friendly with restrictions', "
stay-zostel-mukteshwar-066796,Zostel Mukteshwar,Mukteshwar,,"₹1,500-4,000","{'description': 'Pets welcome in private rooms', '"
stay-saffronstays-himalaica-93a686,SaffronStays Himalaica,Jibhi,,"₹6,000-12,000","{'description': 'Dogs welcome', 'max_pets_per_room"
stay-ahilya-fort-50cb3a,Ahilya Fort,Maheshwar,,"₹25,000-50,000",{'description': 'Pet-friendly with advance notice'
stay-barefoot-at-havelock-56fb8b,Barefoot at Havelock,Havelock,,"₹15,000-35,000","{'description': 'Pets welcome in select cottages',"
stay-evolve-back-coorg-31f105,Evolve Back Coorg,Coorg,,Luxury,Selected pool villas allow pets.
stay-tutc-kohima-camp-2720e3,TUTC Kohima Camp,Kohima,,"₹20,000-40,000",{'description': 'Pets allowed with prior approval'
stay-dune-eco-village-17a987,Dune Eco Village,Pondicherry,,"₹8,000-18,000","{'description': 'Pet-friendly cottages', 'max_pets"
,Four Seasons Hotel Mumbai,Mumbai,,Luxury,"Pets under 15 lbs welcome. Pet food, beds, toys pr"
,Taj Wellington Mews - Mumbai,Mumbai,,Luxury,Pet-friendly aparthotel with dedicated pet ameniti
,Grand Hyatt Mumbai,Mumbai,,Luxury,Pets welcome with advance notice.
,Novotel Mumbai Juhu Beach,Mumbai,,Premium,Small pets allowed with deposit.
,Dune Eco Village & Spa,Puducherry,,Premium,35-acre beachside resort with pet-friendly bungalo
,The Fern Samali Resort,Dapoli,,Mid-range,Cozy cottages with outdoor spaces for pets.
,W Goa,Goa,,Luxury,PAW Program - pets welcome with amenities.
,The Himalayan Village,Kasol,,Mid-range,Traditional Himachali architecture with extensive 
,Taj Madikeri Resort & Spa,Coorg,,Luxury,Luxurious cottages with walking paths throughout t
,Tree of Life Resort & Spa,Jaipur,,Luxury,Villas with private gardens. Special pet menu with
,"Wildflower Hall, Shimla",Shimla,,Luxury,Limited pet-friendly rooms. Advance booking requir
,Karma Chalets,Gurgaon,,Premium,"Air-conditioned pet sleeping areas (Solarium), ope"
,The Oberoi Amarvilas,Agra,,Luxury,Small pets allowed in select rooms with Taj Mahal 
,Roseate House New Delhi,Delhi,,Luxury,Pet-friendly rooms with prior notice.
,Orange County Coorg,Coorg,,Premium,Pet-friendly plantation cottages.
,Tamara Coorg,Coorg,,Luxury,Pet-friendly cottages with garden access.
,Kumarakom Lake Resort,Kumarakom,,Luxury,Heritage villas allow pets. Lakeside walks.
,Suryagarh Jaisalmer,Jaisalmer,,Luxury,Desert resort welcoming dogs. Desert safari pet-fr
,Rawla Narlai,Narlai,,Mid-range,Heritage property with pet-friendly rooms and vill
