name,pillar,category,description,mira_whisper
Fitness Assessment & Programme Design,fit,assessment,"Comprehensive fitness evaluation including body condition scoring, mobility assessment, and personal",Customized fitness plan for optimal health
Personal Training Programme - 8 Weeks,learn,training,One-on-one training sessions with a certified canine fitness trainer. Includes home exercises and we,Professional training to build confidence and good behavior
Weight Management Programme,fit,weight,"Structured weight loss or gain programme with nutrition planning, exercise routines, and regular wei",Keep your companion healthy and active
Hydrotherapy Sessions,fit,therapy,"Water-based therapy sessions for rehabilitation, fitness, or senior mobility. Supervised by trained ",Therapeutic exercise for recovery and mobility
Senior Mobility Programme,fit,senior,"Gentle exercise programme designed for senior dogs. Focus on maintaining mobility, joint health, and",Keep your companion healthy and active
Puppy Development Programme,fit,puppy,Age-appropriate fitness activities for puppies. Build healthy exercise habits and proper physical de,Foundation training for lifelong good behavior
Agility Foundation Course,fit,agility,"Introduction to agility training. Learn basic obstacles, commands, and course navigation in a fun en",Fun exercise that strengthens your bond
Canine Yoga (Doga) Session,care,wellness,"Relaxing yoga session with your dog. Great for bonding, flexibility, and stress relief for both pet ",Professional care for your companion
Birthday Party Planning,celebrate,party,Complete party coordination,Make their special day unforgettable
Gotcha Day Celebration,celebrate,gotcha,Celebrate the day you found each other,Celebrate the day your family became complete
Surprise Delivery Service,celebrate,surprise,Send surprise treats and gifts to any pet parent! We deliver joy anywhere.,Make special moments memorable
Stay Concierge,stay,,Find perfect pet-friendly accommodation,"Safe, comfortable stay for your pet"
Premium Boarding Setup,stay,,Custom boarding arrangement,"A safe, loving home away from home"
Travel Planning,travel,,Complete travel coordination,Stress-free journeys for your companion
Pet Relocation,travel,,Complete relocation service for city or international moves,Stress-free relocation for your companion
Nutrition Consultation,advisory,,Expert diet planning,Personalized diet plan for optimal health
Custom Meal Planning,dine,,Personalized meal plans,Curated for your companion
Emergency Care Coordination,emergency,,24/7 emergency support,Expert help when you need it most
Fitness Assessment,fit,assessment,Complete fitness evaluation,Customized fitness plan for optimal health
Personal Training Program,learn,,8-week fitness journey,Professional training to build confidence and good behavior
Behavior Consultation,learn,,Expert assessment and plan for behavior issues,Understand and address your dog's unique behaviors
Adventure Day Planning,advisory,,Custom adventure experience,Expert guidance for pet parents
Playdate Coordination,enjoy,,Group play sessions,Curated for your companion
Mobile Grooming,care,,Grooming at your doorstep,"Professional grooming for a healthy, beautiful coat"
Pet Matching Service,adopt,,Find your perfect pet match based on lifestyle,Find the perfect companion for your lifestyle
New Pet Support,adopt,,30-day transition support,Find your perfect companion
Memorial Service,farewell,,Beautiful ceremony to celebrate their life,Honor the love you shared together
Pet Loss Support,farewell,,Counseling support during difficult times,We're here for you during this difficult time
VIP Restaurant Reservations,dine,,Priority booking at pet-friendly restaurants,Curated for your companion
Gourmet Picnic Setup,dine,,Complete pet-friendly picnic arrangement,Curated for your companion
Insurance Consultation,advisory,,Find the right coverage,Expert guidance for your companion's needs
Claims Assistance,insure,,Help with insurance claims,Curated for your companion
Pet Styling Consultation,advisory,,Product recommendations,Expert guidance for your companion's needs
Chef's Table Experience,dine,,Private chef dining at pet-friendly restaurants,Curated for your companion
Private Home Dining,dine,,Chef comes to your home with pet-safe menu,Curated for your companion
Pet Party Catering,celebrate,,Catering for pet birthdays & events,Celebrate with your furry friend
Fresh Meal Subscription,dine,,Weekly fresh pet meals delivered,Curated for your companion
Group Dining Events,enjoy,,Organize pet parent meetups,Curated for your companion
Premium Grooming Session,care,grooming,"Full grooming service including bath, haircut, nail trim, and ear cleaning.","Professional grooming for a healthy, beautiful coat"
Vet Consultation at Home,care,vet,Licensed veterinarian visits your home for check-ups and consultations.,Professional health care and prevention
Pet Sitting (Daily),care,sitting,Professional pet sitter cares for your pet at your home.,Personalized care in familiar surroundings
Pet-Friendly Venue Booking,celebrate,venue,We find and book the perfect pet-friendly venue for your celebration.,Make special moments memorable
Professional Training Clicker,learn,care,High-quality clicker for positive reinforcement training.,Professional training to build confidence and good behavior
