name,pillar,category,price
Orthopedic Dog Bed - Medium,shop,beds,3999
Cooling Mat - Large,shop,accessories,1499
Poop Bag Dispenser + Bags,shop,accessories,449
Social Calendar Management,enjoy,social,1999
Behaviour Assessment & Plan,learn,assessment,2499
Reactivity Rehabilitation,learn,behaviour,8999
Canine Good Citizen Preparation,learn,certification,6999
Cooling Vest,fit,weather-gear,1499
Cooling Exercise Vest,fit,fit,1699
Pet Photoshoot Package,celebrate,service,3499
Orthopedic Pet Bed,shop,beds,3499
Immune Support Supplement,adopt,adopt-health,1199
Dog Treadmill - Compact,fit,fit,8999
Paw-parazzi Package,shop,bundles,999
Dog Park Meetup Pass,enjoy,events,299
Pet Photography Session,enjoy,experiences,1999
Pet Picnic Kit,shop,kits,899
Canine Yoga Class,learn,classes,799
Foster Preparation Kit,shop,kits,1999
Pet Bakery Tour,enjoy,experiences,799
Elevated Dining Set,shop,products,1499
Pet Stroller,shop,gear,4999
Hiking Trail Pass,enjoy,activities,399
Pet Art Class,learn,classes,999
Doggy Yoga Session,learn,classes,699
Sunrise Dog Walk,enjoy,activities,499
Doggy Dance Class,learn,classes,899
Seasonal Festival Pass,shop,subscriptions,1299
Obstacle Course Pass,enjoy,activities,699
Canine Massage Session,care,wellness,999
Therapy Dog Certification,shop,certification,5999
Canine Good Citizen Prep,shop,certifications,2999
Reactive Dog Workshop,shop,workshops,2999
Nose Work Introduction,learn,classes,1299
Annual Wellness Checkup,care,checkups,1999
Vaccination Package,shop,vaccines,2499
Flea & Tick Prevention,shop,preventive,999
Pet Supplements Bundle,care,supplements,1499
Allergy Testing,shop,diagnostics,2999
Blood Panel Test,shop,diagnostics,1999
Ear Cleaning Kit,shop,products,499
Heartworm Prevention,shop,preventive,1499
Wellness Blood Test,care,diagnostics,1499
Vet Selection Assistance,shop,guidance,599
Pet Budget Planning,shop,financial,699
End-of-Life Planning,shop,planning,999
Monthly Advisory Call,advisory,subscriptions,1999
Daily Walk & Exercise Package,fit,exercise_plan,5999
Breed-Specific Styling,shop,styling,2999
Grief Support Counselling,farewell,grief_support,1499
Dog Park Meetup Pass (Monthly),community,meetups,999
Pet-Friendly Event Ticket,community,events,799
Relocation Concierge,travel,service,9999
Pet Matching Service,adopt,service,999
Gourmet Picnic Setup,dine,service,2999
Group Dining Events,dine,service,1999
Large Breed · Cooling Vest · Beat The Heat,shop,clothes,1199
Advanced Tricks Masterclass,learn,learn,1999
Labrador Snuggle Blanket,shop,beds,899.0
Indie Snuggle Blanket,shop,beds,899.0
German Shepherd Snuggle Blanket,shop,beds,899.0
Beagle Snuggle Blanket,shop,beds,899.0
Pug Snuggle Blanket,shop,beds,899.0
Shih Tzu Snuggle Blanket,shop,beds,899.0
Pomeranian Snuggle Blanket,shop,beds,899.0
Husky Snuggle Blanket,shop,beds,899.0
Rottweiler Snuggle Blanket,shop,beds,899.0
Dachshund Snuggle Blanket,shop,beds,899.0
French Bulldog Snuggle Blanket,shop,beds,899.0
Great Dane Snuggle Blanket,shop,beds,899.0
Doberman Snuggle Blanket,shop,beds,899.0
Maltese Snuggle Blanket,shop,beds,899.0
Yorkshire Terrier Snuggle Blanket,shop,beds,899.0
Lhasa Apso Snuggle Blanket,shop,beds,899.0
Chihuahua Snuggle Blanket,shop,beds,899.0
Labrador Comfort Bed,shop,beds,1499.0
Indie Comfort Bed,shop,beds,1499.0
German Shepherd Comfort Bed,shop,beds,1499.0
Beagle Comfort Bed,shop,beds,1499.0
Pug Comfort Bed,shop,beds,1499.0
Shih Tzu Comfort Bed,shop,beds,1499.0
Pomeranian Comfort Bed,shop,beds,1499.0
