product_id,name,pillar,product_type,breed,price_inr,action_needed
PROD-90504666929A,Audit Test Product,,product,,,Upload image via Admin Product Box
shopify-8873047294106,Chicken Liver Cookies,,,,,Upload image via Admin Product Box
prod-SVC-ADOPT-READINESS,Adoption Readiness Planning,adopt,service,,,Upload image via Admin Product Box
prod-SVC-ADOPT-SUITABILITY,Breed Suitability Advisory,adopt,service,,,Upload image via Admin Product Box
prod-SVC-ADOPT-DISCOVER,Ethical Adoption Discovery,adopt,service,,,Upload image via Admin Product Box
prod-SVC-ADOPT-TRANSITION,First 30 Days Support,adopt,service,,,Upload image via Admin Product Box
prod-SVC-ADOPT-HOME,Home Preparation Guidance,adopt,service,,,Upload image via Admin Product Box
advisory-home-605c53e3,Calming Dog Bed,care,,,,Upload image via Admin Product Box
advisory-home-47f2e977,Crate Training Mat,care,,,,Upload image via Admin Product Box
advisory-grooming-5bb06d25,De-shedding Slicker Brush,care,,,,Upload image via Admin Product Box
advisory-puppy-7b2cd3f6,First Collar & Tag Set,care,,,,Upload image via Admin Product Box
advisory-senior-e83bd172,Joint Care Supplement (60 tablets),care,,,,Upload image via Admin Product Box
advisory-senior-e8c69d77,Non-Slip Mobility Ramp,care,,,,Upload image via Admin Product Box
advisory-grooming-d010d678,Professional Nail Clipper,care,,,,Upload image via Admin Product Box
advisory-puppy-8100aba9,Puppy Starter Bowl Set,care,,,,Upload image via Admin Product Box
advisory-senior-9a123be4,Raised Food Bowl Stand,care,,,,Upload image via Admin Product Box
advisory-puppy-8c6dccd4,Toilet Training Pee Pads (30 pack),care,,,,Upload image via Admin Product Box
adv-1f2b8928,Birthday Hiking Kit — Trail Ready,celebrate,,,,Upload image via Admin Product Box
adv-446d54ae,Birthday Sunrise Walk Kit,celebrate,,,,Upload image via Admin Product Box
cel-sample-002,Breed Special - Golden Retriever,celebrate,,Golden Retriever,,Upload image via Admin Product Box
celebrate-cake-1,Classic Birthday Cake,celebrate,,,,Upload image via Admin Product Box
cel-sample-001,Classic Paw Print Cake,celebrate,,,,Upload image via Admin Product Box
celebrate-cake-consult,Custom Cake Consultation,celebrate,,,,Upload image via Admin Product Box
party-d8221258,Dog Birthday Cake Topper Set,celebrate,,,,Upload image via Admin Product Box
adv-7ab9a89a,Freeze-Dried Trail Mix — Birthday Edition,celebrate,,,,Upload image via Admin Product Box
cel-sample-003,Peanut Butter Pupcakes (6 pcs),celebrate,,,,Upload image via Admin Product Box
cake-siberian_husky-light,Siberian Husky — Light,celebrate,birthday_cake,siberian_husky,,Upload image via Admin Product Box
adv-07fe101d,Special Day Leash — Birthday Edition,celebrate,,,,Upload image via Admin Product Box
dine-item-ca425d0d,TDC Anniversary Cake,celebrate,,,,Upload image via Admin Product Box
dine-item-ed6c4414,TDC Birthday Cake,celebrate,,,,Upload image via Admin Product Box
dine-item-1aa74da2,TDC Mini Cake,celebrate,,,,Upload image via Admin Product Box
PROD-3583E12ED072,TEST Celebrate Birthday Cake,celebrate,physical,,,Upload image via Admin Product Box
party-7ef5700f,Treat Puzzle Toy - Birthday Cake Shape,celebrate,,,,Upload image via Admin Product Box
