name,area,city,country,state,address,petMenuAvailable,petPolicy,cuisine,tags,rating,reviewCount,priceRange,image,petMenuImage,petMenuItems,timings,phone,instagram,website,zomatoLink,googleMapsLink,conciergeRecommendation,specialOffers,birthdayPerks,featured,verified
TherPup Café,Koramangala,Bangalore,India,Karnataka,,yes,all-pets,Café|Continental|Italian,Outdoor Seating|Dog Menu|Cat Friendly,4.5,120,₹₹,https://images.unsplash.com/photo-1554118811-1e0d58224f24?w=400,,Pupcakes|Dog Ice Cream|Chicken Biscuits,10 AM - 10 PM,+91 98765 43210,@therpupcafe,,,,This charming café in Koramangala is a local favourite among pet parents. The outdoor garden seating is perfect for your furry friend to relax while you enjoy their signature cold brew. Don't miss the pupcakes – freshly baked every morning!,,true,true,true
Paws & Brew,Indiranagar,Bangalore,India,Karnataka,,partial,outdoor,Brewery|American,Beer Garden|Pet Friendly Patio,4.2,,₹₹₹,,,Water Bowl|Doggy Treats,,,,,,,An excellent craft beer destination that welcomes your four-legged companion on their spacious patio. The weekend brunches here are legendary. Pro tip: Visit during happy hours for the best experience.,,false,false,true
Woof & Waffle,Bandra West,Mumbai,India,Maharashtra,,yes,all-pets,Café|Breakfast,Dog Café|Photo Spot,4.7,,₹₹,,,Pawffles|Bone Broth|Pup Smoothie,,,,,,,"Bandra's most Instagram-worthy pet café! The pawffles are a must-try, and the staff keeps treats handy for your pets. Perfect for celebrating special occasions with your furry friend.",,true,true,true
Bark & Bite,Greater Kailash,Delhi,India,Delhi,,yes,small-pets,Continental|Indian Fusion,Small Pets Only|Indoor AC,4.3,,₹₹₹,,,Mini Pupcakes|Chicken Jerky,,,,,,,A sophisticated choice in GK for discerning pet parents. The chicken jerky from their pet menu is a crowd favourite. Reserve the corner booth for privacy with your pet.,,false,false,false
Third Wave Coffee Roasters,Indiranagar,Bangalore,India,Karnataka,,partial,outdoor,Café|Coffee|Breakfast,Outdoor Seating|WiFi|Pet Water Bowls,4.4,450,₹₹,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?w=400,,Water Bowls|Dog Biscuits on Request,8 AM - 11 PM,,,,,,"While they don't have a dedicated pet menu, their outdoor seating is incredibly pet-friendly with water bowls always ready. Great coffee and a relaxed vibe make this ideal for morning walks with your companion.",,false,true,true
Cafe Azzure,HSR Layout,Bangalore,India,Karnataka,,yes,all-pets,Italian|Continental|Café,Dog Friendly|Pet Menu|Rooftop,4.6,320,₹₹₹,https://images.unsplash.com/photo-1559329007-40df8a9345d8?w=400,,Grilled Chicken Strips|Pup Pasta|Doggy Dessert,11 AM - 11 PM,+91 80 4567 8901,@cafeazzure,,,,"HSR's hidden gem for pet dining! Their rooftop offers stunning views, and the pup pasta is specially crafted by their chef. Booking recommended for weekends.",,false,true,true
Toit Brewpub,Indiranagar,Bangalore,India,Karnataka,,no,outdoor,Brewery|American|Pub Food,Beer Garden|Live Sports|Pet Friendly Patio,4.3,890,₹₹₹,https://images.unsplash.com/photo-1555658636-6e4a36218be7?w=400,,,12 PM - 1 AM,,,,,,"Bangalore's iconic brewery welcomes pets in their beer garden. While they don't serve pet food, the outdoor space is perfect for socializing with other pet parents over craft beers.",,false,false,true
Green Theory,Whitefield,Bangalore,India,Karnataka,,yes,all-pets,Vegan|Healthy|Organic,Vegan|Pet Menu|Garden Seating,4.5,210,₹₹,https://images.unsplash.com/photo-1466978913421-dad2ebd01d17?w=400,,Veggie Bites|Carrot Sticks|Pumpkin Pupcakes,10 AM - 10 PM,,,,,,A vegan paradise that extends its philosophy to pet meals too! Their pumpkin pupcakes are made with organic ingredients. Ideal for health-conscious pet parents.,,false,false,true
The Barking Deer,Lower Parel,Mumbai,India,Maharashtra,,yes,all-pets,Brewery|American|Bar Food,Craft Beer|Pet Menu|Live Music,4.4,560,₹₹₹,https://images.unsplash.com/photo-1514933651103-005eec06c04b?w=400,,Doggy Burger Patty|Chicken Strips|Pup Beer (Non-Alcoholic),12 PM - 1:30 AM,+91 22 4567 8901,@thebarkingdeer,,,,Mumbai's premier pet-friendly brewery in Lower Parel. Their non-alcoholic 'Pup Beer' is a fun novelty. The live music nights create a wonderful atmosphere for dining with your pet.,,false,true,true
Suzette,Bandra West,Mumbai,India,Maharashtra,,partial,outdoor,French|Café|Crepes,Outdoor Seating|Brunch Spot|Pet Friendly,4.5,420,₹₹₹,https://images.unsplash.com/photo-1554118811-1e0d58224f24?w=400,,Water Bowl|Plain Crepe Bites,9 AM - 11 PM,,,,,,French elegance meets pet hospitality in Bandra. The outdoor crêperie seating is perfect for your companion. Their plain crêpe bites make an excellent treat for your pet.,,false,true,true
Sequel Bistro,Juhu,Mumbai,India,Maharashtra,,yes,all-pets,Continental|Mediterranean|Healthy,Beach View|Pet Menu|Sunset Spot,4.6,380,₹₹₹₹,https://images.unsplash.com/photo-1600891964092-4316c288032e?w=400,,Grilled Fish Bites|Chicken Bowl|Coconut Ice Cream,12 PM - 12 AM,+91 22 2345 6789,,,,,Juhu's beachside bistro offers spectacular sunset views with your pet. Their grilled fish bites are sourced fresh daily. A premium dining experience worth the splurge.,,false,true,true
Le Pain Quotidien,Colaba,Mumbai,India,Maharashtra,,partial,outdoor,Bakery|Belgian|Organic,Organic|Bakery|Breakfast,4.3,290,₹₹₹,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,,Dog-Friendly Biscuits|Water,8 AM - 10 PM,,,,,,Colaba's organic bakery has dog-friendly outdoor tables with complimentary biscuits. Perfect for a healthy breakfast with your pet before a walk along Marine Drive.,,false,false,true
Cafe Monza,Powai,Mumbai,India,Maharashtra,,yes,all-pets,Italian|Pizza|Pasta,Lake View|Pet Menu|Family Friendly,4.2,210,₹₹,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=400,,Plain Pasta|Chicken Bites|Pupcakes,11 AM - 11 PM,,,,,,"Powai's lakeside Italian spot is a visual treat for both you and your pet. The plain pasta makes a safe, delicious option for your furry diner.",,false,false,true
Diggin,Chanakyapuri,Delhi,India,Delhi,,yes,all-pets,Italian|Continental|Café,Garden Café|Pet Menu|Instagram Worthy,4.5,780,₹₹₹,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400,,Doggy Pizza|Chicken Pasta|Pup Sundae,11 AM - 11 PM,+91 11 4567 8901,@diggin.cafe,,,,"Delhi's most beloved garden café! The ambiance is magical, and the doggy pizza is legendary. Book the swing tables for the best experience with your pet.",,true,true,true
Cafe Lota,Pragati Maidan,Delhi,India,Delhi,,partial,outdoor,Indian|Regional|Organic,Museum Café|Traditional|Outdoor Seating,4.4,450,₹₹,https://images.unsplash.com/photo-1551218808-94e220e084d2?w=400,,Plain Rice|Chicken Pieces,9 AM - 9 PM,,,,,,A cultural experience at Pragati Maidan with your pet. Their traditional Indian flavours can be enjoyed while your companion relaxes in the outdoor heritage setting.,,false,false,true
Cafe Tesu,Saket,Delhi,India,Delhi,,yes,all-pets,European|Healthy|Café,Garden Seating|Brunch|Pet Menu,4.3,320,₹₹₹,https://images.unsplash.com/photo-1559925393-8be0ec4767c8?w=400,,Doggy Brunch Bowl|Pupcakes|Frozen Treats,10 AM - 10 PM,,,,,,Saket's garden café offers brunch like no other. The doggy brunch bowl is curated by their chef. Perfect for leisurely weekend mornings with your pet.,,false,true,true
Smokehouse Deli,Khan Market,Delhi,India,Delhi,,partial,outdoor,American|Deli|Sandwiches,Outdoor|Brunch|Premium,4.4,560,₹₹₹₹,https://images.unsplash.com/photo-1521017432531-fbd92d768814?w=400,,Water|Plain Meat Bites,9 AM - 11 PM,,,,,,"Khan Market's premium deli welcomes pets at outdoor tables. While they offer basic treats, the real charm is the people-watching with your companion.",,false,false,true
