name,pillar,category,description
Classic Paw Print Cake,celebrate,cakes,A delicious chicken & oats cake with adorable paw print decoration
Breed Special - Golden Retriever,celebrate,cakes,"Shaped like a Golden Retriever face, perfect for breed lovers"
Peanut Butter Pupcakes (6 Pcs),shop,treats,Mini cupcakes perfect for sharing at pawties
Desi Ladoo Treats,shop,treats,Traditional Indian ladoo made pet-safe with natural ingredients
Professional Training Clicker,care,care,High-quality clicker for positive reinforcement training.
Training Treat Pouch,fit,fit,Convenient pouch with quick-access opening for training treats.
Ceramic Memorial Urn,shop,urns,Beautiful hand-crafted ceramic urn with customisable engravings
Wooden Memory Box,shop,urns,Elegant wooden memory box with photo frame and compartment for ashes
Clay Paw Print Kit,shop,keepsakes,Create a lasting impression with our premium clay paw print kit
Memorial Locket Pendant,shop,keepsakes,Sterling silver locket to keep a small portion of ashes close to your heart
Custom Pet Portrait,shop,memorial,Hand-painted watercolour portrait from your favourite photo
Memory Blanket,shop,memorial,Soft fleece blanket printed with your pet's photos
Ultimate Birthday Bash,celebrate,bundles,The most comprehensive birthday package for your fur baby's special day
Pawsome Party Starter,celebrate,bundles,Everything you need to get the party started
Paw-parazzi Package,shop,bundles,Professional photo session package for memorable captures
Ultimate Birthday Bundle,celebrate,bundles,Cake + Pupcakes + Party Pack
Premium Celebration Hamper,celebrate,bundles,Cake + Treat Hamper + Party Pack
Birthday Pawty Box,celebrate,bundles,"Complete birthday celebration package with cake, treats, and party accessories"
Gotcha Day Celebration,celebrate,concierge,Celebrate your rescue pet's adoption anniversary
Pet Café Visit,enjoy,experiences,Pet-friendly café experience with treats
Doggy Brunch Reservation,enjoy,experiences,Weekend brunch at pet-friendly restaurant
Home Chef Pet Meal,dine,meals,Fresh home-cooked meal for your pet
Gourmet Pet Platter,dine,meals,Premium selection of pet-safe treats
Birthday Dinner Package,celebrate,packages,Special birthday dinner experience
Pet Hotel Standard Room,stay,boarding,Comfortable overnight stay for your pet
Luxury Pet Suite,stay,boarding,Premium suite with extra amenities
Doggy Daycare Pass,care,daycare,Full day supervised play and care
Weekly Boarding Package,stay,packages,7-day boarding with daily activities
Pet Staycation Bundle,stay,packages,3-night luxury stay with spa services
Pet Travel Carrier,travel,gear,Airline-approved travel carrier
Travel Water Bottle,travel,travel-gear,Portable water bottle for pets
Pet Passport Service,shop,services,Complete documentation for international travel
Travel Comfort Kit,travel,kits,"Blanket, toys, and treats for journey"
Pet Transport Service,travel,services,Door-to-door pet transportation
Dog Park Meetup Pass,enjoy,events,Access to exclusive dog park events
Pet Photography Session,enjoy,experiences,Professional pet photoshoot
Doggy Swimming Session,enjoy,activities,Supervised pool time for dogs
Puppy Playdate Package,enjoy,activities,Organized playdate with other puppies
Pet Picnic Kit,shop,kits,Everything for a perfect pet picnic
Dog Running Session,fit,fitness,Professional dog running service
Canine Yoga Class,learn,classes,Yoga session with your dog
Weight Management Program,shop,weight,3-month fitness & diet program
Agility Training Session,learn,training,Obstacle course training
Pet Fitness Tracker,fit,gear,Smart collar for activity tracking
Nutrition Consultation,shop,consultation,Expert diet planning for your pet
Behaviour Assessment,shop,consultations,Professional behaviour evaluation
Pet Life Planning,shop,planning,Comprehensive pet care roadmap
Breed-Specific Guide,shop,guides,Custom care guide for your breed
Senior Pet Care Plan,care,planning,Specialized care for aging pets
Pet Insurance Assistance,shop,services,Help with insurance paperwork
Registration Service,shop,services,Pet registration and licensing
Health Certificate,care,certificates,Official health documentation
Microchip Registration,shop,documentation,Microchip and database registration
Pet Will & Trust Setup,shop,legal,Legal pet care documentation
24/7 Vet Hotline Access,shop,subscriptions,Annual subscription for emergency advice
Pet First Aid Kit,advisory,advisory,Comprehensive emergency kit
Emergency Transport Service,emergency,emergency,Priority pet ambulance service
Lost Pet Recovery Plan,shop,services,GPS tracking and recovery service
Emergency Fund Setup,emergency,financial,Pet emergency savings plan setup
Adoption Counselling,adopt,services,Expert guidance for pet adoption
New Pet Starter Kit,shop,kit,Everything for your new family member
Home Assessment Service,shop,services,Pet-proofing home consultation
Adoption Follow-up Package,adopt,packages,30-day support after adoption
Foster Preparation Kit,shop,kits,Supplies for fostering pets
Puppy Picnic Set,enjoy,experiences,Complete picnic setup for you and your pet
Dog-Friendly Restaurant Guide,shop,guides,Digital guide to pet-friendly eateries
Pet Food Tasting Session,enjoy,experiences,Sample premium pet foods
Organic Pet Meal Plan,shop,subscriptions,Monthly organic meal subscription
Pet Chef Consultation,shop,consultations,One-on-one with pet nutrition chef
Doggy Ice Cream Party,enjoy,events,Ice cream party for pets
Pet Bakery Tour,enjoy,experiences,Behind the scenes at pet bakery
Weekly Meal Prep Service,shop,services,Fresh meals prepared weekly
Canine Cuisine Cookbook,shop,products,Recipes for homemade pet food
Pet Food Storage Set,dine,products,Premium airtight containers
Slow Feeder Bowl,shop,accessories,Promotes healthy eating habits
Elevated Dining Set,shop,products,Ergonomic feeding station
Pet Wine & Dine Night,enjoy,experiences,Luxury dining experience
Automatic Pet Feeder,shop,products,Smart scheduled feeding
Pet Nutrition Workshop,learn,classes,Learn about pet nutrition
Cat Condo Rental,stay,boarding,Private cat accommodation
VIP Pet Penthouse,stay,boarding,Top-floor luxury suite
Home Pet Sitting,shop,services,In-home pet care service
Overnight Pet Nanny,shop,services,24-hour in-home care
Pet Vacation Resort,stay,boarding,Resort-style boarding
Monthly Daycare Pass,care,subscriptions,Unlimited monthly daycare
Senior Pet Care Room,stay,boarding,Specialized senior pet boarding
Puppy Kindergarten Stay,stay,boarding,Socialization-focused boarding
Pet Hotel Pool Access,stay,amenities,Swimming pool day pass
Grooming During Stay,care,add-ons,Add grooming to boarding
Extended Stay Discount,stay,packages,30-day boarding package
Pet Webcam Access,shop,add-ons,Watch your pet 24/7
Special Needs Boarding,stay,boarding,Medical care included
Holiday Pet Hotel,stay,boarding,Festive themed stays
Pet Playgroup Session,enjoy,activities,Supervised group play
Car Seat Cover,shop,gear,Waterproof car protection
Pet Stroller,shop,gear,All-terrain pet stroller
Collapsible Travel Bowl,shop,accessories,Portable food/water bowl
Pet Travel Insurance,travel,insurance,Comprehensive coverage
GPS Pet Tracker,travel,travel-gear,Real-time location tracking
Airline Pet Booking,shop,services,Flight booking assistance
Pet Travel Bed,travel,gear,Portable comfort bed
Motion Sickness Kit,care,health,Travel sickness remedies
Pet Hotel Finder,stay,services,Find pet-friendly stays
Travel First Aid Kit,travel,travel-gear,Emergency supplies
Pet Backpack Carrier,shop,gear,Hands-free carrying
Car Harness System,shop,safety,Safe car restraint
International Vet Check,shop,services,Travel health certificate
Pet Relocation Service,shop,relocation,Complete moving service
Travel Anxiety Treats,shop,treats,Calming travel snacks
Doggy Birthday Party,enjoy,events,Full birthday celebration
Pet Spa Day,enjoy,experiences,Relaxation and pampering
Dog Beach Day,enjoy,activities,Beach outing package
Pet Movie Night,enjoy,events,Outdoor cinema for pets
Hiking Trail Pass,enjoy,activities,Access to pet trails
Pet Art Class,learn,classes,Create art with your pet
Doggy Yoga Session,learn,classes,Doga class for you both
Pet Social Club,shop,subscriptions,Monthly membership
Sunrise Dog Walk,enjoy,activities,Group morning walks
Pet Costume Party,enjoy,events,Themed costume event
