id,name,base_price,pillar,category,type,description
svc-fit-15e96e63,Fitness Assessment & Programme Design,2499,fit,assessment,service,"Comprehensive fitness evaluation including body condition scoring, mobility assessment, and personalised exercise programme design."
svc-fit-85322381,Personal Training Programme - 8 Weeks,7999,fit,training,service,One-on-one training sessions with a certified canine fitness trainer. Includes home exercises and weekly progress reviews.
svc-fit-6772e766,Weight Management Programme,5999,fit,weight,service,"Structured weight loss or gain programme with nutrition planning, exercise routines, and regular weigh-ins."
svc-fit-a6d208d2,Hydrotherapy Sessions,1499,fit,therapy,service,"Water-based therapy sessions for rehabilitation, fitness, or senior mobility. Supervised by trained hydrotherapists."
svc-fit-314163ce,Senior Mobility Programme,4999,fit,senior,service,"Gentle exercise programme designed for senior dogs. Focus on maintaining mobility, joint health, and quality of life."
svc-fit-2b0721c5,Puppy Development Programme,3999,fit,puppy,service,Age-appropriate fitness activities for puppies. Build healthy exercise habits and proper physical development.
svc-fit-c4ff6597,Agility Foundation Course,4499,fit,agility,service,"Introduction to agility training. Learn basic obstacles, commands, and course navigation in a fun environment."
svc-fit-b3b39dbe,Canine Yoga (Doga) Session,799,fit,wellness,service,"Relaxing yoga session with your dog. Great for bonding, flexibility, and stress relief for both pet and parent."
svc-celebrate-party,Birthday Party Planning,,celebrate,party,,Complete party coordination
svc-celebrate-gotcha,Gotcha Day Celebration,,celebrate,gotcha,,Celebrate your pet's adoption anniversary with a special gotcha day package.
svc-celebrate-surprise,Surprise Delivery Service,1499,celebrate,surprise,,Send surprise treats and gifts to any pet parent! We deliver joy anywhere.
svc-stay-concierge,Stay Concierge,,stay,,,Find perfect pet-friendly accommodation
svc-stay-premium,Premium Boarding Setup,,stay,,,Custom boarding arrangement
svc-travel-planning,Travel Planning,,travel,,,Complete travel coordination
svc-travel-relocation,Relocation Concierge,,travel,,,Full relocation support
svc-feed-nutrition,Nutrition Consultation,,feed,,,Expert diet planning
svc-feed-meal-plan,Custom Meal Planning,,feed,,,Personalized meal plans
svc-care-emergency,Emergency Care Coordination,,care,,,24/7 emergency support
svc-fit-assessment,Fitness Assessment,,fit,assessment,,Complete fitness evaluation
svc-fit-program,Personal Training Program,,fit,,,8-week fitness journey
svc-learn-behavior,Behavior Consultation,,learn,,,Address specific issues
svc-enjoy-adventure,Adventure Day Planning,,enjoy,,,Custom adventure experience
svc-enjoy-playdate,Playdate Coordination,,enjoy,,,Group play sessions
svc-groom-mobile,Mobile Grooming,,groom,,,Grooming at your doorstep
svc-adopt-match,Pet Matching Service,,adopt,,,Find your perfect pet
svc-adopt-support,New Pet Support,,adopt,,,30-day transition support
svc-farewell-memorial,Memorial Planning,,farewell,,,Dignified farewell service
svc-farewell-grief,Grief Support,,farewell,,,Counseling and support
svc-dine-reservation,VIP Restaurant Reservations,,dine,,,Priority booking at pet-friendly restaurants
svc-dine-picnic,Gourmet Picnic Setup,,dine,,,Complete pet-friendly picnic arrangement
svc-insure-consult,Insurance Consultation,,insure,,,Find the right coverage
svc-insure-claims,Claims Assistance,,insure,,,Help with insurance claims
svc-shop-styling,Pet Styling Consultation,,shop,,,Product recommendations
svc-dine-chefs-table,Chef's Table Experience,,dine,,,Private chef dining at pet-friendly restaurants
svc-dine-private-home,Private Home Dining,,dine,,,Chef comes to your home with pet-safe menu
svc-dine-catering,Pet Party Catering,,dine,,,Catering for pet birthdays & events
svc-dine-subscription,Fresh Meal Subscription,,dine,,,Weekly fresh pet meals delivered
svc-dine-group-event,Group Dining Events,,dine,,,Organize pet parent meetups
svc-care-grooming,Premium Grooming Session,,care,grooming,,"Full grooming service including bath, haircut, nail trim, and ear cleaning."
svc-care-vet,Vet Consultation at Home,,care,vet,,Licensed veterinarian visits your home for check-ups and consultations.
svc-care-sitting,Pet Sitting (Daily),,care,sitting,,Professional pet sitter cares for your pet at your home.
svc-celebrate-venue,Pet-Friendly Venue Booking,,celebrate,venue,,We find and book the perfect pet-friendly venue for your celebration.
svc-learn_prod_clicker,Professional Training Clicker,299,care,care,,High-quality clicker for positive reinforcement training.
svc-dine-f9364aff,Pet Caf Visit,499,enjoy,experiences,,Pet-friendly café experience with treats
svc-dine-f4bebcb6,Doggy Brunch Reservation,799,enjoy,experiences,,Weekend brunch at pet-friendly restaurant
svc-dine-1dd03b79,Home Chef Pet Meal,399,dine,meals,,Fresh home-cooked meal for your pet
svc-dine-149222dc,Gourmet Pet Platter,649,dine,meals,,Premium selection of pet-safe treats
svc-stay-eb1b89c2,Pet Hotel Standard Room,1499,stay,boarding,,Comfortable overnight stay for your pet
svc-stay-9aeb0242,Luxury Pet Suite,2999,stay,boarding,,Premium suite with extra amenities
svc-stay-dc128835,Doggy Daycare Pass,599,care,daycare,,Full day supervised play and care
svc-travel-14fe2322,Pet Passport Service,1999,shop,services,,Complete documentation for international travel
svc-travel-bf4970ea,Pet Transport Service,3999,travel,services,,Door-to-door pet transportation
svc-enjoy-efd5110c,Dog Park Meetup Pass,299,enjoy,events,,Access to exclusive dog park events
svc-enjoy-1d90a879,Pet Photography Session,1999,enjoy,experiences,,Professional pet photoshoot
svc-enjoy-2307e263,Doggy Swimming Session,799,enjoy,activities,,Supervised pool time for dogs
svc-fit-9a00b7ab,Dog Running Session,499,fit,fitness,,Professional dog running service
svc-fit-0d19a648,Canine Yoga Class,799,learn,classes,,Yoga session with your dog
svc-fit-e07de578,Weight Management Program,2999,shop,weight,,3-month fitness & diet program
svc-fit-5a3d45ff,Agility Training Session,999,learn,training,,Obstacle course training
svc-advisory-4816ac9b,Behaviour Assessment,1499,shop,consultations,,Professional behaviour evaluation
svc-advisory-347e8209,Pet Life Planning,2499,shop,planning,,Comprehensive pet care roadmap
svc-advisory-4c13f2cb,Senior Pet Care Plan,1999,care,planning,,Specialized care for aging pets
svc-paperwork-9dc28c77,Pet Insurance Assistance,499,shop,services,,Help with insurance paperwork
svc-paperwork-f7b2af2c,Registration Service,299,shop,services,,Pet registration and licensing
svc-paperwork-18b00074,Health Certificate,799,care,certificates,,Official health documentation
svc-paperwork-de483ae1,Microchip Registration,599,shop,documentation,,Microchip and database registration
svc-paperwork-48c6de72,Pet Will & Trust Setup,4999,shop,legal,,Legal pet care documentation
svc-emergency-27c8523d,Emergency Transport Service,2999,emergency,emergency,,Priority pet ambulance service
svc-emergency-5aa61513,Lost Pet Recovery Plan,1999,shop,services,,GPS tracking and recovery service
svc-emergency-b0e9efe5,Emergency Fund Setup,499,emergency,financial,,Pet emergency savings plan setup
svc-adopt-5b8366a7,Adoption Counselling,799,adopt,services,,Expert guidance for pet adoption
svc-adopt-6878a0e9,Home Assessment Service,999,shop,services,,Pet-proofing home consultation
svc-dine-d6cfc31d,Puppy Picnic Set,899,enjoy,experiences,,Complete picnic setup for you and your pet
svc-dine-5e2c2519,Pet Food Tasting Session,599,enjoy,experiences,,Sample premium pet foods
svc-dine-d71fa051,Pet Chef Consultation,999,shop,consultations,,One-on-one with pet nutrition chef
svc-dine-c0c2215d,Doggy Ice Cream Party,1499,enjoy,events,,Ice cream party for pets
svc-dine-394247c0,Pet Bakery Tour,799,enjoy,experiences,,Behind the scenes at pet bakery
svc-dine-58949d34,Weekly Meal Prep Service,1999,shop,services,,Fresh meals prepared weekly
svc-dine-fddb1596,Pet Wine & Dine Night,2499,enjoy,experiences,,Luxury dining experience
svc-dine-5d0174ec,Pet Nutrition Workshop,1299,learn,classes,,Learn about pet nutrition
svc-stay-5cf25fe8,Cat Condo Rental,999,stay,boarding,,Private cat accommodation
svc-stay-d0c8ba69,VIP Pet Penthouse,4999,stay,boarding,,Top-floor luxury suite
svc-stay-d393d42c,Home Pet Sitting,1299,shop,services,,In-home pet care service
svc-stay-c57c999b,Overnight Pet Nanny,1999,shop,services,,24-hour in-home care
svc-stay-8d906e2b,Pet Vacation Resort,6999,stay,boarding,,Resort-style boarding
svc-stay-65422098,Senior Pet Care Room,1799,stay,boarding,,Specialized senior pet boarding
