id,name,area,city,petMenuAvailable,petPolicy,cuisine,tags,rating,reviewCount,priceRange,image,petMenuItems,timings,phone,instagram,website,featured,verified,created_at,updated_at
rest-69d5eda05b57,TherPup Café,Koramangala,Bangalore,yes,all-pets,Café|Continental|Italian,Outdoor Seating|Dog Menu|Cat Friendly,4.5,120,₹₹,https://images.unsplash.com/photo-1554118811-1e0d58224f24?w=400,Pupcakes|Dog Ice Cream|Chicken Biscuits,10 AM - 10 PM,+91 98765 43210,@therpupcafe,,True,True,2026-01-16T06:13:36.288593+00:00,2026-01-16T08:11:03.961651+00:00
rest-d4c0f54ccb46,Paws & Brew,Indiranagar,Bangalore,partial,outdoor,Brewery|American,Beer Garden|Pet Friendly Patio,4.2,0,₹₹₹,,Water Bowl|Doggy Treats,,,,,False,True,2026-01-16T06:13:50.134958+00:00,2026-01-16T08:11:04.045738+00:00
rest-902ad322552d,Woof & Waffle,Bandra West,Mumbai,yes,all-pets,Café|Breakfast,Dog Café|Photo Spot,4.7,0,₹₹,,Pawffles|Bone Broth|Pup Smoothie,,,,,True,True,2026-01-16T06:13:50.181887+00:00,2026-01-16T08:11:04.083013+00:00
rest-089f2a6952d1,Bark & Bite,Greater Kailash,Delhi,yes,small-pets,Continental|Indian Fusion,Small Pets Only|Indoor AC,4.3,0,₹₹₹,,Mini Pupcakes|Chicken Jerky,,,,,False,False,2026-01-16T06:13:50.230592+00:00,2026-01-16T08:11:04.125340+00:00
rest-e5e040faaf10,Third Wave Coffee Roasters,Indiranagar,Bangalore,partial,outdoor,Café|Coffee|Breakfast,Outdoor Seating|WiFi|Pet Water Bowls,4.4,450,₹₹,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?w=400,Water Bowls|Dog Biscuits on Request,8 AM - 11 PM,,,,True,True,2026-01-16T06:19:57.497500+00:00,2026-01-16T08:11:04.164117+00:00
rest-1c473dd728bd,Cafe Azzure,HSR Layout,Bangalore,yes,all-pets,Italian|Continental|Café,Dog Friendly|Pet Menu|Rooftop,4.6,320,₹₹₹,https://images.unsplash.com/photo-1559329007-40df8a9345d8?w=400,Grilled Chicken Strips|Pup Pasta|Doggy Dessert,11 AM - 11 PM,+91 80 4567 8901,@cafeazzure,,True,True,2026-01-16T06:19:57.549574+00:00,2026-01-16T08:11:04.201224+00:00
rest-23e23f7e66a4,Toit Brewpub,Indiranagar,Bangalore,no,outdoor,Brewery|American|Pub Food,Beer Garden|Live Sports|Pet Friendly Patio,4.3,890,₹₹₹,https://images.unsplash.com/photo-1555658636-6e4a36218be7?w=400,,12 PM - 1 AM,,,,False,True,2026-01-16T06:19:57.595999+00:00,2026-01-16T08:11:04.283659+00:00
rest-68bb9bc25b2b,Green Theory,Whitefield,Bangalore,yes,all-pets,Vegan|Healthy|Organic,Vegan|Pet Menu|Garden Seating,4.5,210,₹₹,https://images.unsplash.com/photo-1466978913421-dad2ebd01d17?w=400,Veggie Bites|Carrot Sticks|Pumpkin Pupcakes,10 AM - 10 PM,,,,False,True,2026-01-16T06:19:57.642001+00:00,2026-01-16T08:11:04.321913+00:00
rest-9772ce75ba70,The Barking Deer,Lower Parel,Mumbai,yes,all-pets,Brewery|American|Bar Food,Craft Beer|Pet Menu|Live Music,4.4,560,₹₹₹,https://images.unsplash.com/photo-1514933651103-005eec06c04b?w=400,Doggy Burger Patty|Chicken Strips|Pup Beer (Non-Alcoholic),12 PM - 1:30 AM,+91 22 4567 8901,@thebarkingdeer,,True,True,2026-01-16T06:19:57.991840+00:00,2026-01-16T08:11:04.360121+00:00
rest-b1ce9bf61d9a,Suzette,Bandra West,Mumbai,partial,outdoor,French|Café|Crepes,Outdoor Seating|Brunch Spot|Pet Friendly,4.5,420,₹₹₹,https://images.unsplash.com/photo-1554118811-1e0d58224f24?w=400,Water Bowl|Plain Crepe Bites,9 AM - 11 PM,,,,True,True,2026-01-16T06:19:58.042230+00:00,2026-01-16T08:11:04.397951+00:00
rest-6beb5dc4ac42,Sequel Bistro,Juhu,Mumbai,yes,all-pets,Continental|Mediterranean|Healthy,Beach View|Pet Menu|Sunset Spot,4.6,380,₹₹₹₹,https://images.unsplash.com/photo-1600891964092-4316c288032e?w=400,Grilled Fish Bites|Chicken Bowl|Coconut Ice Cream,12 PM - 12 AM,+91 22 2345 6789,,,True,True,2026-01-16T06:19:58.095080+00:00,2026-01-16T08:11:04.432320+00:00
rest-c6e94200f5bc,Le Pain Quotidien,Colaba,Mumbai,partial,outdoor,Bakery|Belgian|Organic,Organic|Bakery|Breakfast,4.3,290,₹₹₹,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=400,Dog-Friendly Biscuits|Water,8 AM - 10 PM,,,,False,True,2026-01-16T06:19:58.143979+00:00,2026-01-16T08:11:04.470409+00:00
rest-9d11dea3f413,Cafe Monza,Powai,Mumbai,yes,all-pets,Italian|Pizza|Pasta,Lake View|Pet Menu|Family Friendly,4.2,210,₹₹,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=400,Plain Pasta|Chicken Bites|Pupcakes,11 AM - 11 PM,,,,False,True,2026-01-16T06:19:58.190065+00:00,2026-01-16T08:11:04.509008+00:00
rest-45827e6d221f,Diggin,Chanakyapuri,Delhi,yes,all-pets,Italian|Continental|Café,Garden Café|Pet Menu|Instagram Worthy,4.5,780,₹₹₹,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400,Doggy Pizza|Chicken Pasta|Pup Sundae,11 AM - 11 PM,+91 11 4567 8901,@diggin.cafe,,True,True,2026-01-16T06:19:58.529706+00:00,2026-01-16T08:11:04.543071+00:00
rest-01b0e9bbdaeb,Cafe Lota,Pragati Maidan,Delhi,partial,outdoor,Indian|Regional|Organic,Museum Café|Traditional|Outdoor Seating,4.4,450,₹₹,https://images.unsplash.com/photo-1551218808-94e220e084d2?w=400,Plain Rice|Chicken Pieces,9 AM - 9 PM,,,,False,True,2026-01-16T06:19:58.576550+00:00,2026-01-16T08:11:04.577460+00:00
