Question ID,Question Label,Category,Pillar,Options
temperament,Temperament,Identity,Identity & Temperament,"Calm, Playful, Shy, Energetic, Protective"
energy_level,Energy Level,Identity,Identity & Temperament,"Low, Medium, High, Very High"
social_with_dogs,Social with Dogs,Family,Family & Pack,"Loves all dogs, Selective, Prefers humans, Nervous"
social_with_people,Social with People,Family,Family & Pack,"Loves everyone, Selective, Shy at first, Protective"
primary_bond,Most Attached To,Family,Family & Pack,"Me, Partner/Spouse, Kids, Everyone equally"
other_pets,Other Pets,Family,Family & Pack,"Yes dogs, Yes cats, Yes other, No other pets"
kids_at_home,Kids at Home,Family,Family & Pack,"Yes under 5, Yes 5-12, Yes teenagers, No kids"
morning_routine,Morning Routine,Routine,Rhythm & Routine,"Early riser, Sleeps in, Follows my schedule"
feeding_times,Feeding Schedule,Routine,Rhythm & Routine,"Once a day, Twice a day, Free feeding, Three times"
exercise_needs,Exercise Needs,Routine,Rhythm & Routine,"30 min/day, 1 hour/day, 2+ hours/day, Light walks only"
favorite_spot,Favorite Spot,Home,Home Comforts,"Couch, Bed, Floor, Own bed, Multiple spots"
alone_time_comfort,Alone Time,Home,Home Comforts,"Fine alone, Gets anxious, Needs company, Depends"
noise_sensitivity,Noise Sensitivity,Home,Home Comforts,"Not sensitive, Somewhat sensitive, Very sensitive"
favorite_toy_type,Favorite Toys,Home,Home Comforts,"Plush toys, Balls, Chew toys, Puzzle toys, No preference"
car_comfort,Car Rides,Travel,Travel Style,"Loves car rides, Gets anxious, Motion sickness, Neutral"
travel_readiness,Travel Readiness,Travel,Travel Style,"Great traveler, Needs preparation, Prefers home"
food_motivation,Food Motivation,Taste,Taste & Treat,"Very food motivated, Moderate, Picky eater"
favorite_protein,Favorite Protein,Taste,Taste & Treat,"Chicken, Beef, Fish, Lamb, Pork"
treat_preference,Treat Preference,Taste,Taste & Treat,"Soft treats, Crunchy treats, Natural treats, Any"
food_allergies,Food Allergies,Taste,Taste & Treat,"None known, Chicken, Grain, Beef, Other"
training_level,Training Level,Training,Training & Behaviour,"Beginner, Basic commands, Well trained, Advanced"
motivation_type,Training Motivation,Training,Training & Behaviour,"Food, Praise, Play, All"
behavior_issues,Behavior Issues,Training,Training & Behaviour,"None, Barking, Jumping, Pulling, Other"
health_conditions,Health Conditions,Health,Long Horizon,"None, Joint issues, Allergies, Digestive, Other"
vet_comfort,Vet Comfort,Health,Long Horizon,"Comfortable, Anxious, Very anxious"
grooming_tolerance,Grooming Tolerance,Health,Long Horizon,"Loves it, Tolerates, Dislikes"
life_stage,Life Stage,Health,Long Horizon,"Puppy, Adult, Senior"
